t,ret,sigma2_true
1,0.012105492722661154,0.00016699674839015306
2,0.020492772682424627,0.000179468851004256
3,0.003915981728467692,0.00023136314006452514
4,-0.007609600077037912,0.00019957682235750916
5,-0.014024500969067,0.00018836493074129678
6,-0.001147899568739962,0.00020036267112065538
7,0.009948300529810427,0.0001754730709204905
8,0.00463239131735963,0.000176965363235976
9,0.005128811364313866,0.0001593236521291963
10,-0.005336488089030676,0.00014761413505021435
11,0.008277099286831685,0.0001419598258370048
12,-0.007545930296477054,0.00014675413240944763
13,-0.0019503276159675731,0.0001493239948284415
14,-0.007403760954249352,0.00013592308735942504
15,0.0013760979722809697,0.00013577766114508894
16,-0.023524388752915508,0.00012646272386228314
17,0.023220438446062114,0.00023323023804774668
18,0.003961601037912186,0.0003450835376769475
19,0.003965565827195431,0.0002876199730069321
20,-0.030628632493007353,0.0002453516645032401
21,-0.00452888498194251,0.000409381964315627
22,0.0025470159488407912,0.0003373806599259236
23,0.01534314343893811,0.0002836332145550916
24,0.006219880328960277,0.0002858522848946536
25,-0.003096335647709441,0.0002449676658765781
26,0.03239700231141555,0.00021314625128945083
27,0.055610254172234724,0.00040598612316537726
28,0.026302715308222663,0.000867974458175546
29,0.022929380559023032,0.0007625515483352714
30,-0.015007091570041549,0.0006867449849222328
31,0.015531461923295022,0.000620572055657851
32,0.031796922936779166,0.000564897208034761
33,0.03203073954381612,0.0006373574932571807
34,-0.0026957569174706664,0.0006693768521113547
35,0.015520522333494203,0.0005496121637601757
36,-0.024653645625946522,0.0004978584750196687
37,-0.007606501425796473,0.0005535394604478628
38,-0.02307771910003469,0.0004526102880662691
39,-0.017652969634697497,0.0004700108675532316
40,0.02027215052223204,0.00042678434598918775
41,-0.0241683622316505,0.0004569911611940052
42,-0.02282720299360893,0.0005239109632101824
43,-0.003708682331885175,0.0005033165901678619
44,0.012835077857983329,0.000410242767956481
45,-0.011787547537255446,0.0003745812545545169
46,0.036554957057492385,0.00034827127615013535
47,-0.02057388511865448,0.0005891023965584894
48,0.018073785606762646,0.0006123525682921254
49,0.02952625821820784,0.0005848579505769345
50,0.03563241473334355,0.0006223676877985641
51,-0.010368726715373443,0.0007051399478364575
52,0.012856578060451013,0.000615241891875772
53,-0.011249239385619489,0.0005389622588881565
54,-0.03310851750419393,0.0004727845912424128
55,-0.015367242438606548,0.0005899344587956388
56,0.01054358920734255,0.0005007379028925748
57,0.019175321004558318,0.00044129909741726846
58,0.003629943468472525,0.0004261572637805431
59,-0.0015381650425558072,0.00035055082984921916
60,-0.019488683963535196,0.00029262511166891286
61,0.013919430869680144,0.00032289868411775014
62,0.006843772103436521,0.00032724782567831773
63,-0.019192713996717455,0.00027856782126133104
64,0.02554440449563718,0.0003191740216930379
65,-0.025456790563327236,0.00043091946411431294
66,0.027270046073899032,0.0005270561280113832
67,-0.009579666253053678,0.0006236854363814928
68,-0.014743668746232156,0.0005404582985786918
69,0.015564732054748604,0.0004756993509740718
70,0.02405046383089462,0.000452556405221537
71,0.004563994040368597,0.00046860580295142413
72,-0.004263667237767366,0.00038356365209158913
73,-0.001800477145376068,0.00032229020120116557
74,-0.002890929346546383,0.0002701485737031115
75,-0.007435417519284879,0.00023085531346022736
76,0.01655291653208236,0.00020908016845380364
77,-0.0012713215604887316,0.0002455390246795628
78,0.024450002842788598,0.00021302250309364643
79,0.004948263927005547,0.0003093520204891852
80,0.01919650710261321,0.0002602809825352006
81,0.004193862454578715,0.0002918380379092156
82,0.012333731699575164,0.00024669598014395033
83,-0.00893622610361053,0.00023947629028402386
84,0.043488770410688604,0.00022900403273454876
85,0.0051206762703856915,0.000607592492490565
86,0.020521086376861782,0.0004912496433714491
87,-0.012601079417402763,0.000481090865856795
88,0.009198174194466927,0.0004421620402309716
89,-0.02614221886430511,0.0003874648263084429
90,-0.019230696177006252,0.0004745727715035425
91,-0.005828110341277417,0.0004373354775803069
92,0.030706131251632584,0.000361024492442996
93,0.01876999101838598,0.000503432174848597
94,0.008781967520188163,0.0004529246206215888
95,0.0024600667977659686,0.00037882168125959485
96,-0.015399759512537985,0.00031398491890720256
97,-0.011184104267698888,0.00031419061865396085
98,-0.016960959664162306,0.00028018987911438987
99,0.014973245342424968,0.0002856529719530373
100,-0.0016370097037712087,0.00030322895699887024
101,-0.011248776258910501,0.00025796127582535124
102,-0.004144548810951771,0.0002448375805562733
103,0.003187585861579439,0.0002111463784097913
104,0.005378029164613534,0.0001866058776669253
105,-0.016432087138563426,0.00016963739625748252
106,-0.03181881445254709,0.00021202896773702147
107,-0.050185886371921916,0.0003625221083206702
108,-0.024735053295142504,0.0007284728269980557
109,-0.005222362868373082,0.0006484835087961566
110,-0.04376459658112898,0.0005233460448614346
111,0.00022438957572899933,0.0008047789069398354
112,0.055589245317828155,0.000652312531864353
113,0.03369868788331964,0.0011577005287307781
114,-0.054357965529407866,0.0010542549375656435
115,0.003292018310990449,0.0015529515775535992
116,0.027112504824505362,0.0012485770169154216
117,0.06757007145358893,0.00113334678821543
118,-0.01670695085415635,0.0017304589277567105
119,-0.046739194606419635,0.0015026776882511397
120,-0.033259988007246354,0.0015881943098929171
121,-0.020998079024614143,0.001396721484521205
122,0.004106991489787118,0.0011571932213143828
123,-0.017435198609086315,0.0009273580672538102
124,-0.011727081691800804,0.0008053866324956154
125,0.032387492845130816,0.0006619437258362609
126,0.022046857093424254,0.0007704859678167262
127,-0.012853752797149683,0.0006798094681071062
128,-0.009650188344818593,0.0005992355609062268
129,-0.017204970463824104,0.0004971213934860013
130,0.0032926207234314233,0.0004567741893189477
131,-0.03619855276405878,0.000380821295885214
132,-0.007152066233645344,0.0005904663964116373
133,-0.010246640153212262,0.0004786071722606722
134,0.0077582298960043854,0.0004085051653905434
135,-0.015269366418806248,0.0003540461863447399
136,0.007846890576491506,0.0003493133999554557
137,0.0015785869312479883,0.00031129845143665536
138,-0.01382897925897276,0.00026137857471213296
139,-0.012919457586297223,0.00026306353829967953
140,0.019797512623820263,0.00024855833076506374
141,-0.007616904819035295,0.00030842842677281974
142,0.014453899939903765,0.00028131613643350023
143,-0.014802689167590498,0.0002874735573977338
144,-0.003415632045754874,0.00030096361466656413
145,-0.013411981730012797,0.0002536801926046641
146,-0.022152658908824306,0.0002508928783413077
147,0.008277361532404822,0.0002985269142877227
148,0.002058266727086452,0.00027807805215815775
149,0.01573757003935266,0.0002357410306302874
150,0.01599144927558634,0.00025161181278703055
151,0.005973013177713702,0.000253871523732533
152,-0.00979194945327824,0.00021963650621603436
153,-0.0003436729556084034,0.00021343515866308613
154,-0.005366336050892151,0.00018568657489721443
155,-0.007323512918186344,0.00016974321083279177
156,-0.009396324716366053,0.0001604182286276841
157,-0.009260654148882861,0.00015867885692123223
158,-0.011694161997852687,0.00015590054797899732
159,-0.012527360469391456,0.00016294602672594074
160,-0.0026989137589267524,0.00017053808976545692
161,-0.00047099810908807655,0.0001523858415761365
162,0.016809476657843207,0.00013813841023625482
163,0.0047137693990319356,0.00018540504803150762
164,-0.014631409992003113,0.0001648544683657594
165,-0.006145895034182556,0.00019571791657254918
166,-0.01236636662863323,0.00017513547054568755
167,0.0031382292351926373,0.00018284194288654547
168,0.009461444706582625,0.0001666352648501292
169,0.0008662250061540059,0.00016583488283143996
170,-0.003043464822159201,0.00014860848086879576
171,-0.02662646709766644,0.00013726055465038383
172,0.00019684227896715534,0.0002669224695218967
173,0.0015450987800491528,0.0002301409093537076
174,-0.013931956449468534,0.0001988875697895798
175,-0.012341521856841188,0.00021518484880345988
176,-0.03912243212205842,0.00020885189658213934
177,0.022463269283265253,0.00046798152210297285
178,-0.010289086404419431,0.0005432315372804915
179,0.0054755229786202135,0.0004782527930610008
180,0.001870797923061134,0.0004005960550888878
181,0.030411080950059212,0.0003308075765945007
182,0.009755136668965743,0.0004625417890823691
183,0.01584687477580285,0.000384683434812534
184,-0.015690494294358523,0.00036108657499093024
185,-0.011039317051525561,0.0003657548881490635
186,0.018662952807199856,0.0003194863902378337
187,0.0004388661322600543,0.0003514178581691572
188,-0.010215083032989772,0.00029342541589405627
189,0.02761677502758766,0.00026910305433442013
190,0.01929164992729593,0.00040153463245906753
191,0.022628510897486777,0.00037977938463788644
192,0.022298185105965488,0.0003955267707281563
193,-0.003944016486729976,0.00040133131402905005
194,0.006210749275464859,0.0003414380752338695
195,-0.017438464147220303,0.0002940781264164916
196,0.0030957346446558853,0.0003166736068561431
197,-0.01060594348880597,0.0002718299966070663
198,0.008563890406835204,0.00025570648344430626
199,-0.0018526407039876791,0.00023896827891509533
200,-0.005330267723710059,0.000207180325083377
201,0.002699101903116254,0.0001858760275876305
